Source,Target,Relation
Rohit71297120,@BJP4Bengal,follower
Rohit71297120,demento18751112,friend_of_follower
Rohit71297120,PankajG20956731,friend_of_follower
Rohit71297120,AtulKum48161070,friend_of_follower
Rohit71297120,Ankita60323484,friend_of_follower
Rohit71297120,HarshKagda4,friend_of_follower
Rohit71297120,SONUSHR61056134,friend_of_follower
Rohit71297120,AijazAh82475521,friend_of_follower
Rohit71297120,NIKHILK40130527,friend_of_follower
Rohit71297120,Anurg56865913,friend_of_follower
Rohit71297120,ThanseemShajah3,friend_of_follower
Rohit71297120,Shamahi4,friend_of_follower
Rohit71297120,SujitKirve,friend_of_follower
Rohit71297120,JohnBoscoJLope1,friend_of_follower
Rohit71297120,DivyaShet18,friend_of_follower
Rohit71297120,UttamSa51359642,friend_of_follower
Rohit71297120,HaroonK73231896,friend_of_follower
Rohit71297120,SunilKu54105856,friend_of_follower
Rohit71297120,PrachiDey9,friend_of_follower
Rohit71297120,KaluGur41534415,friend_of_follower
Rohit71297120,Gokul45662498,friend_of_follower
promothosh,@BJP4Bengal,follower
promothosh,demento18751112,friend_of_follower
promothosh,PankajG20956731,friend_of_follower
promothosh,AtulKum48161070,friend_of_follower
promothosh,Ankita60323484,friend_of_follower
promothosh,HarshKagda4,friend_of_follower
promothosh,SONUSHR61056134,friend_of_follower
promothosh,AijazAh82475521,friend_of_follower
promothosh,NIKHILK40130527,friend_of_follower
promothosh,Anurg56865913,friend_of_follower
promothosh,ThanseemShajah3,friend_of_follower
promothosh,Shamahi4,friend_of_follower
promothosh,SujitKirve,friend_of_follower
promothosh,JohnBoscoJLope1,friend_of_follower
promothosh,DivyaShet18,friend_of_follower
promothosh,UttamSa51359642,friend_of_follower
promothosh,HaroonK73231896,friend_of_follower
promothosh,SunilKu54105856,friend_of_follower
promothosh,PrachiDey9,friend_of_follower
promothosh,KaluGur41534415,friend_of_follower
promothosh,Gokul45662498,friend_of_follower
OmSolankiSen2,@BJP4Bengal,follower
Rajpals35487642,OmSolankiSen2,follower_of_follower
SunilAh64145529,OmSolankiSen2,follower_of_follower
TejuKulkarni7,OmSolankiSen2,follower_of_follower
rajinde37951376,OmSolankiSen2,follower_of_follower
RakeshS74086924,OmSolankiSen2,follower_of_follower
KavitaG_22,OmSolankiSen2,follower_of_follower
p36822389,OmSolankiSen2,follower_of_follower
Purohit97203852,OmSolankiSen2,follower_of_follower
asifkhaniyc,OmSolankiSen2,follower_of_follower
Soniajill17,OmSolankiSen2,follower_of_follower
DrPratapsinghP2,OmSolankiSen2,follower_of_follower
goud_rajpal,OmSolankiSen2,follower_of_follower
MMxDof1pyan5dHx,OmSolankiSen2,follower_of_follower
ManfoolBishnoi7,OmSolankiSen2,follower_of_follower
AashutoshForBJP,OmSolankiSen2,follower_of_follower
rahuljoshi062,OmSolankiSen2,follower_of_follower
Reena3597,OmSolankiSen2,follower_of_follower
SHYAMSINGHPARM7,OmSolankiSen2,follower_of_follower
iPremGiri,OmSolankiSen2,follower_of_follower
PankajSethia6,OmSolankiSen2,follower_of_follower
OmSolankiSen2,Rajpals35487642,friend_of_follower
OmSolankiSen2,SunilAh64145529,friend_of_follower
OmSolankiSen2,TejuKulkarni7,friend_of_follower
OmSolankiSen2,rajinde37951376,friend_of_follower
OmSolankiSen2,RakeshS74086924,friend_of_follower
OmSolankiSen2,KavitaG_22,friend_of_follower
OmSolankiSen2,p36822389,friend_of_follower
OmSolankiSen2,Purohit97203852,friend_of_follower
OmSolankiSen2,asifkhaniyc,friend_of_follower
OmSolankiSen2,Soniajill17,friend_of_follower
OmSolankiSen2,DrPratapsinghP2,friend_of_follower
OmSolankiSen2,goud_rajpal,friend_of_follower
OmSolankiSen2,MMxDof1pyan5dHx,friend_of_follower
OmSolankiSen2,ManfoolBishnoi7,friend_of_follower
OmSolankiSen2,AashutoshForBJP,friend_of_follower
OmSolankiSen2,rahuljoshi062,friend_of_follower
OmSolankiSen2,Reena3597,friend_of_follower
OmSolankiSen2,SHYAMSINGHPARM7,friend_of_follower
OmSolankiSen2,iPremGiri,friend_of_follower
OmSolankiSen2,PankajSethia6,friend_of_follower
namoshreekaraa,@BJP4Bengal,follower
FxShvan,namoshreekaraa,follower_of_follower
bakar86022009,namoshreekaraa,follower_of_follower
ompdahiya,namoshreekaraa,follower_of_follower
rinky280297,namoshreekaraa,follower_of_follower
ketanlove2die,namoshreekaraa,follower_of_follower
sethupathi55,namoshreekaraa,follower_of_follower
chitradurgasha1,namoshreekaraa,follower_of_follower
ManeeshSolanki,namoshreekaraa,follower_of_follower
LSM1373,namoshreekaraa,follower_of_follower
Shivi_iii,namoshreekaraa,follower_of_follower
ramkj75,namoshreekaraa,follower_of_follower
MANOJTR29322101,namoshreekaraa,follower_of_follower
gouranga1964,namoshreekaraa,follower_of_follower
Aditi_Mishra33,namoshreekaraa,follower_of_follower
krt_its,namoshreekaraa,follower_of_follower
TRamesh2001,namoshreekaraa,follower_of_follower
LDMago2,namoshreekaraa,follower_of_follower
snbhatt62,namoshreekaraa,follower_of_follower
PJasraj_7,namoshreekaraa,follower_of_follower
becsyaz,namoshreekaraa,follower_of_follower
namoshreekaraa,FxShvan,friend_of_follower
namoshreekaraa,bakar86022009,friend_of_follower
namoshreekaraa,ompdahiya,friend_of_follower
namoshreekaraa,rinky280297,friend_of_follower
namoshreekaraa,ketanlove2die,friend_of_follower
namoshreekaraa,sethupathi55,friend_of_follower
namoshreekaraa,chitradurgasha1,friend_of_follower
namoshreekaraa,ManeeshSolanki,friend_of_follower
namoshreekaraa,LSM1373,friend_of_follower
namoshreekaraa,Shivi_iii,friend_of_follower
namoshreekaraa,ramkj75,friend_of_follower
namoshreekaraa,MANOJTR29322101,friend_of_follower
namoshreekaraa,gouranga1964,friend_of_follower
namoshreekaraa,Aditi_Mishra33,friend_of_follower
namoshreekaraa,krt_its,friend_of_follower
namoshreekaraa,TRamesh2001,friend_of_follower
namoshreekaraa,LDMago2,friend_of_follower
namoshreekaraa,snbhatt62,friend_of_follower
namoshreekaraa,PJasraj_7,friend_of_follower
namoshreekaraa,becsyaz,friend_of_follower
Andri54527441,@BJP4Bengal,follower
AlisonChalmer18,Andri54527441,follower_of_follower
SnaStudio,Andri54527441,follower_of_follower
twobigboysblog,Andri54527441,follower_of_follower
AranyajitSaman2,Andri54527441,follower_of_follower
doctortrick1,Andri54527441,follower_of_follower
Khushi47672807,Andri54527441,follower_of_follower
newsandfoods,Andri54527441,follower_of_follower
ChefRobertKirk,Andri54527441,follower_of_follower
clubfoody1,Andri54527441,follower_of_follower
CaptnKennysFr,Andri54527441,follower_of_follower
lemonmomcanada,Andri54527441,follower_of_follower
ktboldy,Andri54527441,follower_of_follower
LunaDaves,Andri54527441,follower_of_follower
Sunshin03401765,Andri54527441,follower_of_follower
Indiamusicstudi,Andri54527441,follower_of_follower
Andri54527441,AlisonChalmer18,friend_of_follower
Andri54527441,SnaStudio,friend_of_follower
