Source,Target
suhelulfat610,j_tanweer
Priyanadh19,ShahNawazKhanMM
coolestabhi14,ShahNawazKhanMM
saijazuddin1,MairaIndian
Mittu47278712,MilanB88
hambone482,simrenverma
crawlamma,gautamicp
Team_IYC01,Congress_Army
seemarain,1971Neena
nAZbSXveVUbOGjB,RAHULROYCHOWDH1
nikhilkumarIND,RahulDiggikar
RajeshwariUmesh,Onaesimus
hurkdli,Onaesimus
Najibul_AITC,NURAMIN87166897
RanjanG20774974,baranwal1956
Sayan09131,SrinjoyMukher13
Manya85989148,Shreyas156__
sarkar_nick,AnkitSa98172626
ManikOfficial18,ManikOfficial18
OstrichhFeather,aashi310
RanbirchahalS,Punjabi19068915
Cookiekaur123,BirtSakshi
PaltuMidya,PaltuMidya
dinesh_chauhan,tasilommat
KARTICKKHAN18,Debabra33261079
sandipsen6203,Debabra33261079
Sharma98Ankita,Arpanjotkaur5
TimminsPriyanka,KrishnaHegde_SS
AvikRoy72317504,aitmc_arup
sayantanbengali,aitmc_arup
Partha677Shaw,aitmc_arup
parvezislam_200,aitmc_arup
Viswan216,SwatilekhaDebn1
polkadotsing,SwatilekhaDebn1
ishaan_1506,surabhidwivedi_
Sritama_speaks,Rony15081947
SMFriendAITC,Rony15081947
supporter_didi,BibhasD05098661
orrnov,BibhasD05098661
mehra_nikka,Surinde60617881
JagrajS38632272,Surinde60617881
KaranKa28181867,Surinde60617881
veronic17287993,Surinde60617881
nikhilkumarIND,Tanveer75506628
helpless_indian,RisingSun80
samanta_gouri,Its_your_Ani
Its_your_Ani,Its_your_Ani
jyoti725,Deep4IND
PataudiTaimur,Deep4IND
Ahmedkh98791760,Deep4IND
JackSparrow0210,Deep4IND
ParaRjs,malhijs
flybouy777,malhijs
PAVNESHGARG,shekarcm2
Roysrv96,GOUTAMD33290327
ganesan312,55659754Bhaskar
VMimi09,LatoyaFerns
terence_fdes,LatoyaFerns
Rutambharra,LatoyaFerns
ArtAreeba,SajadAliAnsari5
loganathan_raji,okmansai
loganathan_raji,okmansai
ManuKUM06907923,gurpree51786453
Arun84240769,gurpree51786453
rasid_sarwar,SRKsFARHA_
cr7_prasanth,Vinothk88666296
iamhasanujjaman,MdSujau52101669
ArshadAlom15,aitcpartha
Ayaaniqbal17,Hisamud47588796
FightTheEvil3,joBeeGeorgeous
SwithinFernand3,bej_2019
Mohamme92937407,bej_2019
SAnjamulhaq,ZahidJagirdar
shubhamjha_aap,lalitkumartweet
amanp09,lalitkumartweet
MunishK29840966,Brat1991sid
motimedia1,Brat1991sid
NiranjanTripa16,arifms1971
ravinan30310294,shindeabhijit
ChandyAnil,shindeabhijit
amogh83520279,NirajTh29297956
David13758600,NirajTh29297956
Galaxyquotes6,Rajahindustanie
Galaxyquotes6,Rajahindustanie
nAZbSXveVUbOGjB,SrirupBhunia
bm_baisali,BMBiplab1
DasPrabindra,ANIRBAN60273768
DasPrabindra,ANIRBAN60273768
DasPrabindra,ANIRBAN60273768
DasPrabindra,ANIRBAN60273768
SoumenSamui9,SASWATIPAUL4
SouvikM99875820,SASWATIPAUL4
SouvikM99875820,SASWATIPAUL4
SoumenSamui11,SASWATIPAUL4
IndianAnonymo12,DalitRising76
mpnair2013clt,iamANIRUDe
Mohammahamzaa,surjitsingh1310
Onkarsi39708171,surjitsingh1310
crawlamma,Sandeepkavumbai
AlshafaKhan2,AlshafaKhan2
