Source,Target,Relation
_sabanaqvi,Ricky85531982,friend_of_friend
_sabanaqvi,mohamma03036149,friend_of_friend
_sabanaqvi,nilay_chaki,friend_of_friend
_sabanaqvi,Rammilansahu15,friend_of_friend
_sabanaqvi,born90s4,friend_of_friend
_sabanaqvi,bjuneja_,friend_of_friend
_sabanaqvi,makki_dalal,friend_of_friend
_sabanaqvi,shaikhspear81,friend_of_friend
_sabanaqvi,_kshitijpandey_,friend_of_friend
_sabanaqvi,AnanyaB11093354,friend_of_friend
_sabanaqvi,MohdSad61150842,friend_of_friend
_sabanaqvi,Muzahid_0786,friend_of_friend
_sabanaqvi,KhanPathan7861,friend_of_friend
_sabanaqvi,ChandanDeepLil1,friend_of_friend
_sabanaqvi,Vashishthk5,friend_of_friend
_sabanaqvi,Mohamma62200080,friend_of_friend
_sabanaqvi,ParaganR,friend_of_friend
_sabanaqvi,ajaysin65779327,friend_of_friend
@SitaramYechury,maryashakil,friend
Dhananj72150517,maryashakil,follower_of_friend
GaurangiSharma1,maryashakil,follower_of_friend
Deepakgorakhpu1,maryashakil,follower_of_friend
apoorvklicks,maryashakil,follower_of_friend
Jagadis75098116,maryashakil,follower_of_friend
MartisVinston,maryashakil,follower_of_friend
ThakurD70156482,maryashakil,follower_of_friend
yad_yaduvendra,maryashakil,follower_of_friend
SimratKaur0901,maryashakil,follower_of_friend
error_4339,maryashakil,follower_of_friend
Pratik15599349,maryashakil,follower_of_friend
javeed_syed7767,maryashakil,follower_of_friend
SubradipP,maryashakil,follower_of_friend
p15_suman,maryashakil,follower_of_friend
Arifpat88686448,maryashakil,follower_of_friend
nationalismONLY,maryashakil,follower_of_friend
SonuKum67868595,maryashakil,follower_of_friend
AejazPaul,maryashakil,follower_of_friend
edwinthampi,maryashakil,follower_of_friend
SurbhiJ61475981,maryashakil,follower_of_friend
maryashakil,Dhananj72150517,friend_of_friend
maryashakil,GaurangiSharma1,friend_of_friend
maryashakil,Deepakgorakhpu1,friend_of_friend
maryashakil,apoorvklicks,friend_of_friend
maryashakil,Jagadis75098116,friend_of_friend
maryashakil,MartisVinston,friend_of_friend
maryashakil,ThakurD70156482,friend_of_friend
maryashakil,yad_yaduvendra,friend_of_friend
maryashakil,SimratKaur0901,friend_of_friend
maryashakil,error_4339,friend_of_friend
maryashakil,Pratik15599349,friend_of_friend
maryashakil,javeed_syed7767,friend_of_friend
maryashakil,SubradipP,friend_of_friend
maryashakil,p15_suman,friend_of_friend
maryashakil,Arifpat88686448,friend_of_friend
maryashakil,nationalismONLY,friend_of_friend
maryashakil,SonuKum67868595,friend_of_friend
