Source,Target
helpless_indian,MahuaMoitra
KairamNikku,MamataOfficial
MANASKU20832554,MamataOfficial
chitrapadhi,MamataOfficial
ankitgupta0567,MamataOfficial
SubhashSarkar_,MamataOfficial
SabariDeeps,MamataOfficial
rajeevgoyal7,MamataOfficial
TejendraSarkar2,MamataOfficial
TMC23121536,MamataOfficial
RamakantPeelwal,MahuaMoitra
Johnny656555,MahuaMoitra
BnBagul,MahuaMoitra
RahulSaysItLoud,MahuaMoitra
Joydeep01614215,MahuaMoitra
Lalitpagal,MahuaMoitra
maulinshah9,MahuaMoitra
AzadSwaraj1,MahuaMoitra
Bhavesh99T,MahuaMoitra
vaibhavdixit91,MahuaMoitra
Siddhar35652992,MahuaMoitra
Faraz20125400,MahuaMoitra
IndianCrying,MahuaMoitra
Titir01754174,MahuaMoitra
SankarB75925284,MahuaMoitra
ishukumaar,MahuaMoitra
BAtamnirbhar,MahuaMoitra
mohinibose,MahuaMoitra
ZakirHu94328866,MahuaMoitra
RebelloLionel,MahuaMoitra
delonix___,MahuaMoitra
RahulSaysItLoud,MahuaMoitra
dhirajbhasin2,MahuaMoitra
MohammedIfthe15,MahuaMoitra
TPichaimani,MahuaMoitra
berojzgar,MahuaMoitra
SanuyajSk,MahuaMoitra
SanjoyD63246915,MahuaMoitra
israr52904777,MahuaMoitra
Shubham09172552,MamataOfficial
shambhu91904141,MamataOfficial
yuvanmahi,MamataOfficial
Vijay994517467,MamataOfficial
rajibmitraa,MamataOfficial
ChandrBheshaj,MamataOfficial
DurgaPr78717359,MamataOfficial
adityadagar84,MamataOfficial
phalgunee_1703,MamataOfficial
MehtaMorphosis,MamataOfficial
Somenat63100167,MamataOfficial
TejendraSarkar2,MamataOfficial
BabaBagavathy,MamataOfficial
mas007asm,MamataOfficial
Najibul_AITC,MamataOfficial
Zeeshan47383756,MamataOfficial
Firozkh46754379,MamataOfficial
JyotiPrasadBand,MamataOfficial
MAAHIRMURSHED2,MamataOfficial
PRALAYD40307548,MamataOfficial
Upendra_R_07,MahuaMoitra
AprajitaParmar,MahuaMoitra
ChuniyaMohsin,MahuaMoitra
kashishsingh,MahuaMoitra
Aadil70491449,MahuaMoitra
v_vdhya,MahuaMoitra
PRASANN60589323,MahuaMoitra
IndianCrying,MahuaMoitra
MANINDR28367092,MahuaMoitra
tamanpreet2000,MahuaMoitra
Abhilash_Fasul,MahuaMoitra
Gracias57614818,MahuaMoitra
gousiya786,MahuaMoitra
KrishK_Goswami,MahuaMoitra
RizviSalim,MahuaMoitra
tigiphilip,MahuaMoitra
dreammail4u,MahuaMoitra
Ashwini00100,MahuaMoitra
PriyankushGhos3,MahuaMoitra
FarukMa79499879,MahuaMoitra
ImranKh56796083,MahuaMoitra
ImJordanGaurav1,MahuaMoitra
JeetKum14667181,MahuaMoitra
BharvadMachhab1,MahuaMoitra
riyazahmad6828,MahuaMoitra
DeepSee12332302,MahuaMoitra
AbhiKanabar1,MahuaMoitra
AprajitaParmar,MahuaMoitra
zikraurfikr,MahuaMoitra
IndianCrying,MahuaMoitra
Titir01754174,MahuaMoitra
PraveenPius,MahuaMoitra
MTA_1969,MahuaMoitra
harshwardhan_sb,MahuaMoitra
tarunyaduvanshi,MahuaMoitra
BAtamnirbhar,MahuaMoitra
ArjanaHaldkar,MahuaMoitra
sp_gauravyadav,MahuaMoitra
FamTapas,MahuaMoitra
ashish_bhunia,MahuaMoitra
okmansai,MahuaMoitra
VikramR48535938,MahuaMoitra
JuelMolla7,MahuaMoitra
BrethrenIndia,MahuaMoitra
vforvelvetta,MahuaMoitra
sentsumanu,MahuaMoitra
TejendraSarkar2,MamataOfficial
Meharba14982512,MamataOfficial
Firozkh46754379,MamataOfficial
PRALAYD40307548,MamataOfficial
Saurabh_Pathak7,MamataOfficial
LaljiBadya,MamataOfficial
Najibul_AITC,MamataOfficial
MANASKU20832554,MamataOfficial
MonjurAlahi11,MamataOfficial
Sandeep56546105,MamataOfficial
SoumenSamui11,MahuaMoitra
ashish_bhunia,MahuaMoitra
IamUzairKazi,MahuaMoitra
VikramR48535938,MahuaMoitra
JuelMolla7,MahuaMoitra
JyotiPrasadBand,MahuaMoitra
TanujBiswas8,MahuaMoitra
FarukMa79499879,MahuaMoitra
kp_amit04,MahuaMoitra
ElyasahmedElyas,MahuaMoitra
gautgunjan,MahuaMoitra
HardeepKT,MahuaMoitra
habibjaduniv,MahuaMoitra
wiTwiKkyMohsin,MahuaMoitra
DeepakP34486428,MahuaMoitra
Titir01754174,MahuaMoitra
Muhamma11233338,MahuaMoitra
shamshu_27,MahuaMoitra
AshokGunner,MahuaMoitra
drcattur1,MahuaMoitra
Aadikingofheart,MahuaMoitra
Sourav_Kumar_21,MahuaMoitra
BaliyanJoyti,MahuaMoitra
PRASENJ88493509,MahuaMoitra
thesandeepsax,MahuaMoitra
AprajitaParmar,MahuaMoitra
VijayCh10193358,MahuaMoitra
JaveedS29858345,MahuaMoitra
Another31052740,MahuaMoitra
Ezhilanselvaraj,MahuaMoitra
zamana2,MahuaMoitra
Vinita30509817,MahuaMoitra
SusantaKol,MahuaMoitra
spirit_of_venom,MahuaMoitra
OmerFarooqqq,MahuaMoitra
MukeshSalve19,MahuaMoitra
Romita42649253,MahuaMoitra
Apoorva09513619,MahuaMoitra
rayalaratnam,MahuaMoitra
ep_nazer,MahuaMoitra
kunju7103,MahuaMoitra
SABITASINGHATMC,MahuaMoitra
rinkusheik_wb,MahuaMoitra
PriyankushGhos3,MahuaMoitra
bazinga7Sheldon,MahuaMoitra
veenaazz,MahuaMoitra
neetichopra1,MahuaMoitra
rambabugorre,MahuaMoitra
poloRamky,MahuaMoitra
gousiya786,MahuaMoitra
Saurabh59555321,MahuaMoitra
DeepakP34486428,MahuaMoitra
IndianCrying,MahuaMoitra
bhaikatransprt,MahuaMoitra
neetichopra1,MahuaMoitra
vkatree,MahuaMoitra
rashedahamed222,MahuaMoitra
ZvSyedr,MahuaMoitra
jay00783136780,MahuaMoitra
shantanurajura,MamataOfficial
RamyaBhat26,MamataOfficial
sheoranshab4046,MamataOfficial
Murlidh58366574,MamataOfficial
Dia33Mahanta,MamataOfficial
Suvajitpaul23,MamataOfficial
NilimeshDas2,MamataOfficial
Najibul_AITC,MamataOfficial
AvijitM15535698,MamataOfficial
rajeevgoyal7,MamataOfficial
DadrawalaAshish,MamataOfficial
Hasim993,MamataOfficial
MdHabib58765634,MamataOfficial
nAZbSXveVUbOGjB,MamataOfficial
imranal45789633,MamataOfficial
nAZbSXveVUbOGjB,MamataOfficial
Tuhin_BJP,MamataOfficial
MonjurAlahi12,MamataOfficial
subhajitdas2co1,MamataOfficial
ashish_bhunia,MamataOfficial
Najibul_AITC,MahuaMoitra
iamrizwanm,MahuaMoitra
shahwaz_786,MahuaMoitra
ShahNawazKhanMM,MahuaMoitra
RajanGupta1971,MahuaMoitra
BabySingh99,MahuaMoitra
Najibul_AITC,MahuaMoitra
roopashrisinha1,MahuaMoitra
RAHULROYCHOWDH1,MahuaMoitra
SandipS60989713,MahuaMoitra
PRASENJ88493509,MahuaMoitra
SabithBantwal,MahuaMoitra
Vetriyazhagan,MahuaMoitra
terence_fdes,MahuaMoitra
D7349181464,MahuaMoitra
Raj93438727,MahuaMoitra
GLokesh22,MahuaMoitra
raviudyan,MahuaMoitra
thiruvarun1,MahuaMoitra
kilinginstinct,MahuaMoitra
Nazeemahmed07,MahuaMoitra
jingado,MahuaMoitra
Priyanshubadja4,MahuaMoitra
iquahamad,MahuaMoitra
SethLalits,MahuaMoitra
FarukMa79499879,MahuaMoitra
bakrawala_zaid,MahuaMoitra
riyazahmad6828,MahuaMoitra
RahulSaysItLoud,MahuaMoitra
hanumathganna,MahuaMoitra
versusbaki,MahuaMoitra
3kA6601NxLYwaRg,MahuaMoitra
Najibul_AITC,MahuaMoitra
JahidHu79461968,MahuaMoitra
Nazeemahmed07,MahuaMoitra
NasirHu37125332,MahuaMoitra
ANIRBAN90931575,MahuaMoitra
sp3zzz,MahuaMoitra
Firozkh46754379,MahuaMoitra
RahulSaysItLoud,MahuaMoitra
AbhiKanabar1,MahuaMoitra
GarimaS74696962,MahuaMoitra
AhamedDayal,MahuaMoitra
NitinBa71574574,MahuaMoitra
sandipshettyyer,MahuaMoitra
indianhercules1,MahuaMoitra
utopian_being,MahuaMoitra
