Source,Target
AmitSpeaketh,sohinichat
Shamsud05677942,Outlookindia
Bhavna_Vij,Outlookindia
atir111,Outlookindia
snigspeak,Outlookindia
Satendr03920243,sanket
ompvv,sanket
QarXulfi,sanket
AlokSin25962149,sanket
Shuja72632661,sanket
msatishreddy199,sanket
ersumityadav007,sanket
mapreetsingh23,sanket
ShivaYa36977421,sanket
karra_vivek,sanket
111Muno,sanket
sachinksharma81,sanket
MashooqAhmad,sanket
Balbirs30809149,sanket
VishalK14318898,sanket
apexyoda,sanket
matraya47,sanket
cloudnikki,sanket
YogeshRanwa3,sanket
reallucky0,sanket
AImranabidi,sanket
imrandpyc,sanket
Naina59524688,sanket
sachinksharma81,sanket
Taufeeq98336224,sanket
salmank_7722,sanket
RaviKum64507588,sanket
SatyamKumarAry7,sanket
pranjan04175,sanket
curious_soul_01,sanket
SyedMan71112249,sanket
Mohdaak59264585,sanket
Indian83848715,sanket
Muddasir060785,sanket
theCooldeep143,sanket
RajuKha43829654,sanket
ahmadmujtaba911,sanket
YogeshS37261959,sanket
Kumarsi16792884,sanket
97bhardwajpooja,sanket
anamika__pandey,sanket
shailja_11,sanket
ansari1971,sanket
keshav9110,sanket
true_blue_love,sanket
Sanjivj64832033,sanket
sumanrd,sanket
INC_FOR_INDIA,sanket
sagartilak,sanjaycsds
ghawashama,sanjaycsds
MaheshK81653297,sanjaycsds
me_ravi2007,sanjaycsds
hernameisashi,sanjaycsds
sumitmali411,sanjaycsds
shaksingh,sanjaycsds
divyans123,sanjaycsds
RanneetiR,sanjaycsds
h7shukla,sanjaycsds
sachinksharma81,sanjaycsds
Prashan35070081,sanjaycsds
ritugurha,sanjaycsds
satya_maverick,sanjaycsds
VRVshere,sanjaycsds
ankurbtpl,sanjaycsds
sant1911,sanjaycsds
usmaniqaiser,sanjaycsds
akashhthorat,sanjaycsds
psgupta1,sanjaycsds
Apothecurry,sanjaycsds
LoknitiCSDS,sanjaycsds
schowkulkar,sanjaycsds
Iamtdp,sanjaycsds
nyz7777,sanjaycsds
monanspeaks,sanjaycsds
rajoorag,sanjaycsds
mgmnair,sanjaycsds
nareshn091,sanjaycsds
ritugurha,sanjaycsds
Harsh_vns,sanjaycsds
SyedMoinuddin06,sanjaycsds
PrasadS25643236,sanjaycsds
CitizenDogra,sanjaycsds
ThirumalaiGopal,sanjaycsds
TANVIR74QAMAR,sanjaycsds
