Source,Target,Relation,,
Ajay05061998,garyhgoodridge,friend_of_follower,,
Ajay05061998,JHernandezi52,friend_of_follower,,
Ajay05061998,compton3pp,friend_of_follower,,
Ajay05061998,Ananblossom,friend_of_follower,,
Ajay05061998,Gokdenizucarr,friend_of_follower,,
Ajay05061998,kebbaraul,friend_of_follower,,
Ajay05061998,Spiritual_Teach,friend_of_follower,,
Ajay05061998,CIBOTech,friend_of_follower,,
Ajay05061998,VikashBhamaniya,friend_of_follower,,
Ajay05061998,rupadash,friend_of_follower,,
Ajay05061998,NoContext_Pics,friend_of_follower,,
Ajay05061998,Jennife44066111,friend_of_follower,,
Ajay05061998,KimberlyWack2,friend_of_follower,,
Ajay05061998,krutial615,friend_of_follower,,
Ajay05061998,PapiDonToni,friend_of_follower,,
Ajay05061998,QuizzFreak,friend_of_follower,,
Ajay05061998,mysilentbravery,friend_of_follower,,
Ajay05061998,Devi_Fede,friend_of_follower,,
Ranvakamlesh4,@BJP4Bengal,follower,,
Ranvakamlesh4,Sandhan_Sharm,friend_of_follower,,
Ranvakamlesh4,MSDhoni7751,friend_of_follower,,
Ranvakamlesh4,garyhgoodridge,friend_of_follower,,
Ranvakamlesh4,JHernandezi52,friend_of_follower,,
Ranvakamlesh4,compton3pp,friend_of_follower,,
Ranvakamlesh4,Ananblossom,friend_of_follower,,
Ranvakamlesh4,Gokdenizucarr,friend_of_follower,,
Ranvakamlesh4,kebbaraul,friend_of_follower,,
Ranvakamlesh4,Spiritual_Teach,friend_of_follower,,
Ranvakamlesh4,CIBOTech,friend_of_follower,,
Ranvakamlesh4,VikashBhamaniya,friend_of_follower,,
Ranvakamlesh4,rupadash,friend_of_follower,,
Ranvakamlesh4,NoContext_Pics,friend_of_follower,,
Ranvakamlesh4,Jennife44066111,friend_of_follower,,
Ranvakamlesh4,KimberlyWack2,friend_of_follower,,
Ranvakamlesh4,krutial615,friend_of_follower,,
Ranvakamlesh4,PapiDonToni,friend_of_follower,,
Ranvakamlesh4,QuizzFreak,friend_of_follower,,
Ranvakamlesh4,mysilentbravery,friend_of_follower,,
Ranvakamlesh4,Devi_Fede,friend_of_follower,,
SudhamoyRoy4,@BJP4Bengal,follower,,
oroandaman,SudhamoyRoy4,follower_of_follower,,
SudhamoyRoy4,oroandaman,friend_of_follower,,
1700fa6c881e4d9,@BJP4Bengal,follower,,
SOURAV34689425,@BJP4Bengal,follower,,
SOURAV34689425,oroandaman,friend_of_follower,,
RajeevMondal07,@BJP4Bengal,follower,,
RajeevMondal07,oroandaman,friend_of_follower,,
tjoshi89,@BJP4Bengal,follower,,
iwishjobs,tjoshi89,follower_of_follower,,
JobnubInc,tjoshi89,follower_of_follower,,
TrustLogicsUS,tjoshi89,follower_of_follower,,
papaparth,tjoshi89,follower_of_follower,,
tjoshi89,iwishjobs,friend_of_follower,,
tjoshi89,JobnubInc,friend_of_follower,,
tjoshi89,TrustLogicsUS,friend_of_follower,,
tjoshi89,papaparth,friend_of_follower,,
Hamidindarji1,@BJP4Bengal,follower,,
sayyadanwar00,Hamidindarji1,follower_of_follower,,
nooralamsi,Hamidindarji1,follower_of_follower,,
nasir56436372,Hamidindarji1,follower_of_follower,,
aliya_aasif,Hamidindarji1,follower_of_follower,,
khandu_juber,Hamidindarji1,follower_of_follower,,
SimlaCrane,Hamidindarji1,follower_of_follower,,
IrshadMamji,Hamidindarji1,follower_of_follower,,
Muhamma36328305,Hamidindarji1,follower_of_follower,,
ababeel_amrohi,Hamidindarji1,follower_of_follower,,
shoeb_dal,Hamidindarji1,follower_of_follower,,
MubinKh12065389,Hamidindarji1,follower_of_follower,,
NajmulH47771816,Hamidindarji1,follower_of_follower,,
Iqbalal21326032,Hamidindarji1,follower_of_follower,,
Hamidindarji1,sayyadanwar00,friend_of_follower,,
Hamidindarji1,nooralamsi,friend_of_follower,,
Hamidindarji1,nasir56436372,friend_of_follower,,
Hamidindarji1,aliya_aasif,friend_of_follower,,
Hamidindarji1,khandu_juber,friend_of_follower,,
Hamidindarji1,SimlaCrane,friend_of_follower,,
Hamidindarji1,IrshadMamji,friend_of_follower,,
Hamidindarji1,Muhamma36328305,friend_of_follower,,
Hamidindarji1,ababeel_amrohi,friend_of_follower,,
Hamidindarji1,shoeb_dal,friend_of_follower,,
Hamidindarji1,MubinKh12065389,friend_of_follower,,
Hamidindarji1,NajmulH47771816,friend_of_follower,,
Hamidindarji1,Iqbalal21326032,friend_of_follower,,
LaxmanRamjat15,@BJP4Bengal,follower,,
LaxmanRamjat15,sayyadanwar00,friend_of_follower,,
LaxmanRamjat15,nooralamsi,friend_of_follower,,
LaxmanRamjat15,nasir56436372,friend_of_follower,,
LaxmanRamjat15,aliya_aasif,friend_of_follower,,
LaxmanRamjat15,khandu_juber,friend_of_follower,,
LaxmanRamjat15,SimlaCrane,friend_of_follower,,
LaxmanRamjat15,IrshadMamji,friend_of_follower,,
LaxmanRamjat15,Muhamma36328305,friend_of_follower,,
LaxmanRamjat15,ababeel_amrohi,friend_of_follower,,
LaxmanRamjat15,shoeb_dal,friend_of_follower,,
LaxmanRamjat15,MubinKh12065389,friend_of_follower,,
LaxmanRamjat15,NajmulH47771816,friend_of_follower,,
LaxmanRamjat15,Iqbalal21326032,friend_of_follower,,
ch_jyotish,@DilipGhoshBJP,follower,,
ch_jyotish,sayyadanwar00,friend_of_follower,,
ch_jyotish,nooralamsi,friend_of_follower,,
ch_jyotish,nasir56436372,friend_of_follower,,
ch_jyotish,aliya_aasif,friend_of_follower,,
ch_jyotish,khandu_juber,friend_of_follower,,
ch_jyotish,SimlaCrane,friend_of_follower,,
ch_jyotish,IrshadMamji,friend_of_follower,,
ch_jyotish,Muhamma36328305,friend_of_follower,,
ch_jyotish,ababeel_amrohi,friend_of_follower,,
ch_jyotish,shoeb_dal,friend_of_follower,,
ch_jyotish,MubinKh12065389,friend_of_follower,,
ch_jyotish,NajmulH47771816,friend_of_follower,,
ch_jyotish,Iqbalal21326032,friend_of_follower,,
BhatiaMable,@DilipGhoshBJP,follower,,
enssecurity,BhatiaMable,follower_of_follower,,
Abbaschatriwala,BhatiaMable,follower_of_follower,,
_letstrade,BhatiaMable,follower_of_follower,,
WeWorkFoundati1,BhatiaMable,follower_of_follower,,
paryavaranpost2,BhatiaMable,follower_of_follower,,
Wrestletoonz,BhatiaMable,follower_of_follower,,
Skm68161011,BhatiaMable,follower_of_follower,,
PoornaNayak1,BhatiaMable,follower_of_follower,,
BHAGWANKAMBLE20,BhatiaMable,follower_of_follower,,
diaz3et,BhatiaMable,follower_of_follower,,
ishhrcofficial,BhatiaMable,follower_of_follower,,
lawren18242027,BhatiaMable,follower_of_follower,,
Ganesh07922494,BhatiaMable,follower_of_follower,,
RandoPitches,BhatiaMable,follower_of_follower,,
BhatiaMable,enssecurity,friend_of_follower,,
